id,company_id,data_point,date_of_data,internal_company_id,report_type,created_by,created_date,last_modified_by,last_modified_date
669769,20919,0.327777777777778,2023-04-20,95,5,BATCH,2023-04-20 23:14:33.3220000,BATCH,2023-04-20 23:14:33.3220000
669785,19900,0.865384615384615,2023-04-20,93,5,BATCH,2023-04-20 23:14:36.5770000,BATCH,2023-04-20 23:14:36.5770000
669808,23199,0.577777777777778,2023-04-20,94,5,BATCH,2023-04-20 23:14:38.6800000,BATCH,2023-04-20 23:14:38.6800000
669510,23199,0.590909090909091,2023-04-19,94,5,BATCH,2023-04-20 23:14:15.5660000,BATCH,2023-04-20 23:14:15.5660000
669426,19900,0.846153846153846,2023-04-19,93,5,BATCH,2023-04-20 23:14:01.2960000,BATCH,2023-04-20 23:14:01.2960000
669465,20919,0.333333333333333,2023-04-19,95,5,BATCH,2023-04-20 23:14:05.8580000,BATCH,2023-04-20 23:14:05.8580000
668848,20919,0.438888888888889,2023-04-18,95,5,BATCH,2023-04-20 23:13:09.4510000,BATCH,2023-04-20 23:13:09.4510000
668793,19900,0.942307692307692,2023-04-18,93,5,BATCH,2023-04-20 23:13:04.1850000,BATCH,2023-04-20 23:13:04.1850000
668769,23199,0.590909090909091,2023-04-18,94,5,BATCH,2023-04-20 23:12:59.2270000,BATCH,2023-04-20 23:12:59.2270000
668381,23199,0.590909090909091,2023-04-17,94,5,BATCH,2023-04-20 23:11:58.3320000,BATCH,2023-04-20 23:11:58.3320000
668628,19900,0.942307692307692,2023-04-17,93,5,BATCH,2023-04-20 23:12:36.0330000,BATCH,2023-04-20 23:12:36.0330000
668596,20919,0.433333333333333,2023-04-17,95,5,BATCH,2023-04-20 23:12:31.2910000,BATCH,2023-04-20 23:12:31.2910000
668035,20919,0.455555555555556,2023-04-16,95,5,BATCH,2023-04-20 23:11:14.0550000,BATCH,2023-04-20 23:11:14.0550000
667994,19900,0.942307692307692,2023-04-16,93,5,BATCH,2023-04-20 23:11:11.1210000,BATCH,2023-04-20 23:11:11.1210000
667952,23199,0.590909090909091,2023-04-16,94,5,BATCH,2023-04-20 23:11:06.8140000,BATCH,2023-04-20 23:11:06.8140000
667418,23199,0.704545454545455,2023-04-15,94,5,BATCH,2023-04-20 23:10:31.2770000,BATCH,2023-04-20 23:10:31.2770000
667647,19900,0.903846153846154,2023-04-15,93,5,BATCH,2023-04-20 23:10:43.5370000,BATCH,2023-04-20 23:10:43.5370000
667703,20919,0.45,2023-04-15,95,5,BATCH,2023-04-20 23:10:49.6370000,BATCH,2023-04-20 23:10:49.6370000
666887,20919,0.472222222222222,2023-04-14,95,5,BATCH,2023-04-20 23:09:18.7040000,BATCH,2023-04-20 23:09:18.7040000
667235,19900,0.990384615384615,2023-04-14,93,5,BATCH,2023-04-20 23:10:00.4560000,BATCH,2023-04-20 23:10:00.4560000
666924,23199,0.704545454545455,2023-04-14,94,5,BATCH,2023-04-20 23:09:33.6530000,BATCH,2023-04-20 23:09:33.6530000
666711,23199,0.727272727272727,2023-04-13,94,5,BATCH,2023-04-20 23:08:45.9700000,BATCH,2023-04-20 23:08:45.9700000
666718,19900,0.990384615384615,2023-04-13,93,5,BATCH,2023-04-20 23:08:47.5860000,BATCH,2023-04-20 23:08:47.5860000
666673,20919,0.472222222222222,2023-04-13,95,5,BATCH,2023-04-20 23:08:39.1820000,BATCH,2023-04-20 23:08:39.1820000
666178,20919,0.472222222222222,2023-04-12,95,5,BATCH,2023-04-20 23:07:56.4230000,BATCH,2023-04-20 23:07:56.4230000
666138,19900,0.903846153846154,2023-04-12,93,5,BATCH,2023-04-20 23:07:51.9170000,BATCH,2023-04-20 23:07:51.9170000
666034,23199,0.727272727272727,2023-04-12,94,5,BATCH,2023-04-20 23:07:44.4000000,BATCH,2023-04-20 23:07:44.4000000
665782,23199,0.704545454545455,2023-04-11,94,5,BATCH,2023-04-20 23:07:06.1090000,BATCH,2023-04-20 23:07:06.1090000
665572,19900,0.855769230769231,2023-04-11,93,5,BATCH,2023-04-20 23:06:43.3500000,BATCH,2023-04-20 23:06:43.3500000
665596,20919,0.511111111111111,2023-04-11,95,5,BATCH,2023-04-20 23:06:46.2970000,BATCH,2023-04-20 23:06:46.2970000
622033,20919,0.485714285714286,2023-04-10,95,5,BATCH,2023-04-10 23:00:52.7030000,BATCH,2023-04-10 23:00:52.7030000
622040,19900,0.855769230769231,2023-04-10,93,5,BATCH,2023-04-10 23:00:53.4770000,BATCH,2023-04-10 23:00:53.4770000
621740,23199,0.704545454545455,2023-04-10,94,5,BATCH,2023-04-10 23:00:35.1310000,BATCH,2023-04-10 23:00:35.1310000
621459,23199,0.727272727272727,2023-04-09,94,5,BATCH,2023-04-09 23:00:36.9330000,BATCH,2023-04-09 23:00:36.9330000
621471,19900,0.855769230769231,2023-04-09,93,5,BATCH,2023-04-09 23:00:38.3470000,BATCH,2023-04-09 23:00:38.3470000
621557,20919,0.571428571428571,2023-04-09,95,5,BATCH,2023-04-09 23:00:45.3940000,BATCH,2023-04-09 23:00:45.3940000
621072,20919,0.582857142857143,2023-04-08,95,5,BATCH,2023-04-08 23:01:13.6200000,BATCH,2023-04-08 23:01:13.6200000
620846,19900,0.846153846153846,2023-04-08,93,5,BATCH,2023-04-08 23:01:05.4460000,BATCH,2023-04-08 23:01:05.4460000
620810,23199,0.704545454545455,2023-04-08,94,5,BATCH,2023-04-08 23:01:03.4720000,BATCH,2023-04-08 23:01:03.4720000
620575,23199,0.704545454545455,2023-04-07,94,5,BATCH,2023-04-07 23:00:34.3980000,BATCH,2023-04-07 23:00:34.3980000
620631,19900,0.932692307692308,2023-04-07,93,5,BATCH,2023-04-07 23:00:38.3830000,BATCH,2023-04-07 23:00:38.3830000
620671,20919,0.6,2023-04-07,95,5,BATCH,2023-04-07 23:00:42.1070000,BATCH,2023-04-07 23:00:42.1070000
615096,20919,0.628571428571429,2023-04-06,95,5,BATCH,2023-04-06 23:25:49.4250000,BATCH,2023-04-06 23:25:49.4250000
614860,19900,0.875,2023-04-06,93,5,BATCH,2023-04-06 23:25:40.8210000,BATCH,2023-04-06 23:25:40.8210000
614833,23199,0.704545454545455,2023-04-06,94,5,BATCH,2023-04-06 23:25:38.9070000,BATCH,2023-04-06 23:25:38.9070000
610905,23199,0.666666666666667,2023-04-05,94,5,BATCH,2023-04-05 23:01:14.8430000,BATCH,2023-04-05 23:01:14.8430000
611134,19900,0.913461538461538,2023-04-05,93,5,BATCH,2023-04-05 23:01:24.8920000,BATCH,2023-04-05 23:01:24.8920000
611159,20919,0.588571428571429,2023-04-05,95,5,BATCH,2023-04-05 23:01:26.6270000,BATCH,2023-04-05 23:01:26.6270000
610386,20919,0.617142857142857,2023-04-04,95,5,BATCH,2023-04-04 23:01:18.7260000,BATCH,2023-04-04 23:01:18.7260000
610158,19900,0.923076923076923,2023-04-04,93,5,BATCH,2023-04-04 23:01:07.0360000,BATCH,2023-04-04 23:01:07.0360000
610109,23199,0.666666666666667,2023-04-04,94,5,BATCH,2023-04-04 23:01:03.2050000,BATCH,2023-04-04 23:01:03.2050000
609667,23199,0.666666666666667,2023-04-03,94,5,BATCH,2023-04-03 23:01:05.2430000,BATCH,2023-04-03 23:01:05.2430000
609623,19900,0.923076923076923,2023-04-03,93,5,BATCH,2023-04-03 23:01:00.5220000,BATCH,2023-04-03 23:01:00.5220000
609907,20919,0.617142857142857,2023-04-03,95,5,BATCH,2023-04-03 23:01:17.9720000,BATCH,2023-04-03 23:01:17.9720000
609440,20919,0.617142857142857,2023-04-02,95,5,BATCH,2023-04-02 23:01:11.7310000,BATCH,2023-04-02 23:01:11.7310000
609414,19900,0.923076923076923,2023-04-02,93,5,BATCH,2023-04-02 23:01:10.8400000,BATCH,2023-04-02 23:01:10.8400000
609261,23199,0.666666666666667,2023-04-02,94,5,BATCH,2023-04-02 23:00:59.9460000,BATCH,2023-04-02 23:00:59.9460000
608744,23199,0.666666666666667,2023-04-01,94,5,BATCH,2023-04-01 23:10:28.5960000,BATCH,2023-04-01 23:10:28.5960000
608955,19900,0.932692307692308,2023-04-01,93,5,BATCH,2023-04-01 23:10:38.5110000,BATCH,2023-04-01 23:10:38.5110000
609021,20919,0.657142857142857,2023-04-01,95,5,BATCH,2023-04-01 23:10:43.5880000,BATCH,2023-04-01 23:10:43.5880000
590087,20919,0.657142857142857,2023-03-31,95,5,BATCH,2023-03-31 23:39:13.7220000,BATCH,2023-03-31 23:39:13.7220000
590030,19900,0.932692307692308,2023-03-31,93,5,BATCH,2023-03-31 23:39:08.6750000,BATCH,2023-03-31 23:39:08.6750000
589992,23199,0.666666666666667,2023-03-31,94,5,BATCH,2023-03-31 23:39:05.0710000,BATCH,2023-03-31 23:39:05.0710000
580774,23199,0.666666666666667,2023-03-30,94,5,BATCH,2023-03-30 23:00:58.4450000,BATCH,2023-03-30 23:00:58.4450000
581031,19900,0.932692307692308,2023-03-30,93,5,BATCH,2023-03-30 23:01:08.9900000,BATCH,2023-03-30 23:01:08.9900000
581088,20919,0.657142857142857,2023-03-30,95,5,BATCH,2023-03-30 23:01:13.1160000,BATCH,2023-03-30 23:01:13.1160000
579956,20919,0.651428571428571,2023-03-29,95,5,BATCH,2023-03-29 23:01:08.1960000,BATCH,2023-03-29 23:01:08.1960000
579926,19900,0.932692307692308,2023-03-29,93,5,BATCH,2023-03-29 23:01:05.0970000,BATCH,2023-03-29 23:01:05.0970000
579633,23199,0.666666666666667,2023-03-29,94,5,BATCH,2023-03-29 23:00:49.2420000,BATCH,2023-03-29 23:00:49.2420000
579207,23199,0.666666666666667,2023-03-28,94,5,BATCH,2023-03-28 23:00:51.8880000,BATCH,2023-03-28 23:00:51.8880000
579220,19900,0.932692307692308,2023-03-28,93,5,BATCH,2023-03-28 23:00:54.1390000,BATCH,2023-03-28 23:00:54.1390000
579300,20919,0.645714285714286,2023-03-28,95,5,BATCH,2023-03-28 23:00:59.3640000,BATCH,2023-03-28 23:00:59.3640000
578935,20919,0.645714285714286,2023-03-27,95,5,BATCH,2023-03-27 23:01:04.3570000,BATCH,2023-03-27 23:01:04.3570000
578900,19900,0.932692307692308,2023-03-27,93,5,BATCH,2023-03-27 23:01:02.3540000,BATCH,2023-03-27 23:01:02.3540000
578743,23199,0.666666666666667,2023-03-27,94,5,BATCH,2023-03-27 23:00:51.8690000,BATCH,2023-03-27 23:00:51.8690000
578418,23199,0.538461538461538,2023-03-26,94,5,BATCH,2023-03-26 23:01:00.9060000,BATCH,2023-03-26 23:01:00.9060000
578446,19900,0.884615384615385,2023-03-26,93,5,BATCH,2023-03-26 23:01:03.7620000,BATCH,2023-03-26 23:01:03.7620000
578185,20919,0.657142857142857,2023-03-26,95,5,BATCH,2023-03-26 23:00:49.0880000,BATCH,2023-03-26 23:00:49.0880000
578001,20919,0.788571428571429,2023-03-25,95,5,BATCH,2023-03-25 23:01:04.0080000,BATCH,2023-03-25 23:01:04.0080000
577701,19900,0.884615384615385,2023-03-25,93,5,BATCH,2023-03-25 23:00:46.2020000,BATCH,2023-03-25 23:00:46.2020000
